id,date_start,period_type,title,is_infl_rate,cmt,parent_id,previous_id,base_type_code
44756750,2020-08-21 00:00:00,1,Мониторинг Август 2020 (168 сборник/дополнение 57),1,,44388218.0,44388218.0,TSN
44729378,2020-08-12 00:00:00,1,167 индекс/дополнение 57 (мониторинг Июль 2020),1,,43988807.0,43988807.0,TSN
44388218,2020-07-21 00:00:00,1,Мониторинг Июль 2020 (167 сборник/дополнение 57),1,,43977974.0,43977974.0,TSN
43988807,2020-07-17 00:00:00,1,166 индекс/дополнение 57 (мониторинг Июнь 2020),1,,41940723.0,41956936.0,TSN
43977974,2020-06-25 00:00:00,1,Мониторинг Июнь 2020 (166 сборник/дополнение 57),1,,41940723.0,43496651.0,TSN
43496651,2020-06-25 00:00:00,1,Мониторинг Июнь 2020 (166 сборник/дополнение 56),1,,41423151.0,41423151.0,TSN
42758324,2020-06-23 18:49:15,1,ГЭСН 2020 доп 1,0,Период для загрузки ГЭСН,,,TSN
41956936,2020-06-15 00:00:00,1,165 индекс/дополнение 56 (мониторинг Май 2020),1,,40499584.0,40499584.0,TSN
41940723,2020-06-08 00:00:00,1,Дополнение 57,0,,40499584.0,38821342.0,TSN
41475127,2020-05-25 00:00:00,1,Оборудование (Глава 13-2)/дополнение 24,0,,39019930.0,39019930.0,TSN
41423151,2020-05-22 00:00:00,1,Мониторинг Май  2020 (165 сборник/дополнение 56),1,,38821342.0,39974205.0,TSN
40499584,2020-05-15 00:00:00,1,164 индекс/дополнение 56 (мониторинг Апрель 2020),1,164,39974201.0,39974201.0,TSN
39974205,2020-04-02 00:00:00,1,Мониторинг Апрель 2020 (164 сборник/дополнение 56),1,164,38821342.0,39090212.0,TSN
39974204,2020-03-04 00:00:00,1,Мониторинг Март 2020 (163 сборник/дополнение 56),1,163,38821342.0,39090212.0,TSN
39974201,2020-04-15 00:00:00,1,163 индекс/дополнение 56 (мониторинг Март 2020),1,163,38821342.0,39090211.0,TSN
39090212,2020-03-04 00:00:00,1,Мониторинг Март 2020 (163 сборник/дополнение 55),1,163,38821587.0,38821587.0,TSN
39090211,2020-03-04 00:00:00,1,162 индекс/дополнение 55 (мониторинг Февраль 2020),1,162,38821587.0,38821603.0,TSN
39019930,2020-02-21 00:00:00,1,Оборудование (Глава 13-2)/дополнение 23,0,23,38136599.0,38136599.0,TSN
38821603,2020-02-12 00:00:00,1,161 индекс/дополнение 55 (мониторинг Январь 2020),1,161,38438218.0,38383707.0,TSN
38821587,2020-02-13 00:00:00,1,Мониторинг Февраль 2020 (162 сборник/дополнение 55),1,162,38438218.0,38438218.0,TSN
38821342,2020-02-03 00:00:00,1,Дополнение 56,0,56,38438764.0,37017980.0,TSN
38438218,2020-01-23 00:00:00,1,Мониторинг Январь 2020 (161 сборник/дополнение 55),1,161,37017980.0,38136598.0,TSN
38383707,2020-01-21 00:00:00,1,160 индекс/дополнение 55 (мониторинг Декабрь 2019),1,160,37017980.0,38332156.0,TSN
